glyph_name,ps_name,sort_final,sort_g,sort_ssp
ring,ring,1597,2597,782
hungarumlaut,hungarumlaut,1598,2598,783
dotaccent,dotaccent,1599,2599,784
cedilla,cedilla,1600,2600,785
ogonek,ogonek,1601,2601,788
gravecmb,uni0300,1602,2602,789
gravecmb.cap,gravecmb.cap,1603,2603,790
acutecmb,uni0301,1604,2604,791
acutecmb.cap,acutecmb.cap,1605,2605,792
circumflexcmb,uni0302,1606,2606,793
circumflexcmb.cap,circumflexcmb.cap,1607,2607,794
tildecmb,uni0303,1608,2608,795
tildecmb.cap,tildecmb.cap,1609,2609,796
macroncmb,uni0304,1610,2610,797
macroncmb.cap,macroncmb.cap,1611,2611,798
brevecmb,uni0306,1612,2612,799
brevecmb.cap,brevecmb.cap,1613,2613,800
dotaccentcmb,uni0307,1614,2614,801
dotaccentcmb.cap,dotaccentcmb.cap,1615,2615,802
dieresiscmb,uni0308,1616,2616,803
dieresiscmb.cap,dieresiscmb.cap,1617,2617,804
ringcmb,uni030A,1618,2618,805
ringcmb.cap,ringcmb.cap,1619,2619,806
hungarumlautcmb,uni030B,1620,2620,807
hungarumlautcmb.cap,hungarumlautcmb.cap,1621,2621,808
caroncmb,uni030C,1622,2622,809
caroncmb.cap,caroncmb.cap,1623,2623,810
commabelowcmb,uni0326,1624,2624,811
cedillacmb,uni0327,1625,2625,812
ogonekcmb,uni0328,1626,2626,813
verticallinebelowcmb,uni0329,1627,2627,814
brevebelowcmb,uni032E,1628,2628,815
dieresisbelowcmb,uni0324,1629,2629,816
dotbelowcmb,uni0323,1630,2630,817
hoicmb,uni0309,1631,2631,818
hoicmb.cap,uni0309.cap,1632,2632,819
horncmb,uni031B,1633,2633,820
macronbelowcmb,uni0331,1634,2634,821
dieresisacute,uni03080301,1635,2635,822
dieresisacute.cap,uni03080301.cap,1636,2636,823
dieresisgrave,uni03080300,1637,2637,824
dieresisgrave.cap,uni03080300.cap,1638,2638,825
dieresismacron,uni03080304,1639,2639,826
dieresismacron.cap,uni03080304.cap,1640,2640,827
dieresiscaron,uni0308030C,1641,2641,828
dieresiscaron.cap,uni0308030C.cap,1642,2642,829
circumflexacute,uni03020301,1643,2643,830
circumflexacute.cap,uni03020301.cap,1644,2644,831
circumflexgrave,uni03020300,1645,2645,832
circumflexgrave.cap,uni03020300.cap,1646,2646,833
circumflexhoi,uni03020309,1647,2647,834
circumflexhoi.cap,uni03020309.cap,1648,2648,835
circumflextilde,uni03020303,1649,2649,836
circumflextilde.cap,uni03020303.cap,1650,2650,837
breveacute,uni03060301,1651,2651,838
breveacute.cap,uni03060301.cap,1652,2652,839
brevegrave,uni03060300,1653,2653,840
brevegrave.cap,uni03060300.cap,1654,2654,841
brevehoi,uni03060309,1655,2655,842
brevehoi.cap,uni03060309.cap,1656,2656,843
brevetilde,uni03060303,1657,2657,844
brevetilde.cap,uni03060303.cap,1658,2658,845
Delta,uni0394,1659,2659,849
Omega,uni03A9,1660,2660,869
mu,uni03BC,1661,2661,890
pi,pi,1662,2662,894
turkicdsccmb,turkicdsccmb,1663,2663,1084
twoemdash,uni2E3A,1664,2664,1085
threeemdash,uni2E3B,1665,2665,1086
copyleft,u1F12F,1666,2666,1087
uniE600,uniE600,1667,1000,
uniE601,uniE601,1668,1001,
uniE602,uniE602,1669,1002,
uniE603,uniE603,1670,1003,
uniE604,uniE604,1671,1004,
uniE605,uniE605,1672,1005,
uniE606,uniE606,1673,1006,
uniE607,uniE607,1674,1007,
